CakeVersion,Date,CompatibleCount,TotalCount
0.26.0,2018-03-22 15:57:47,52,218
0.26.0,2018-03-22 16:27:08,52,218
0.26.0,2018-03-23 00:02:19,52,218
0.26.0,2018-03-23 12:03:08,53,218
0.26.0,2018-03-24 00:01:58,54,218
0.26.0,2018-03-24 12:01:30,54,218
0.26.0,2018-03-25 00:03:04,54,218
0.26.0,2018-03-25 12:02:36,54,218
0.26.0,2018-03-26 00:02:33,58,219
0.26.0,2018-03-26 12:02:46,57,217
0.26.0,2018-03-27 00:03:34,58,216
0.26.0,2018-03-27 12:02:28,58,216
0.26.0,2018-03-28 00:02:36,59,216
0.26.0,2018-03-28 12:04:00,61,216
0.26.0,2018-03-29 00:03:28,61,216
0.26.0,2018-03-29 12:03:26,61,216
0.26.0,2018-03-30 00:03:22,61,216
0.26.0,2018-03-30 12:02:14,61,216
0.26.0,2018-03-31 00:03:28,61,216
0.26.0,2018-03-31 12:02:23,61,216
0.26.0,2018-04-01 00:02:03,61,216
0.26.0,2018-04-01 12:01:38,61,216
0.26.0,2018-04-02 00:02:15,61,216
0.26.0,2018-04-02 12:03:34,61,216
0.26.0,2018-04-03 00:03:44,61,216
0.26.0,2018-04-03 12:01:43,61,216
0.26.0,2018-04-03 20:18:42,61,216
0.26.0,2018-04-03 21:40:26,61,216
0.26.0,2018-04-04 00:02:18,61,216
0.26.0,2018-04-04 12:02:57,64,216
0.26.0,2018-04-05 00:03:05,71,216
0.26.0,2018-04-05 01:33:55,71,216
0.26.0,2018-04-06 00:02:44,74,216
0.26.0,2018-04-07 00:01:48,74,216
0.26.0,2018-04-07 12:02:21,74,216
0.26.0,2018-04-08 00:02:31,74,216
0.26.0,2018-04-08 12:02:13,74,216
0.26.0,2018-04-09 00:04:28,75,216
0.26.0,2018-04-09 12:02:05,76,216
0.26.0,2018-04-10 00:02:27,76,216
0.26.0,2018-04-10 12:02:22,76,216
0.26.0,2018-04-11 00:02:14,76,216
0.26.0,2018-04-11 12:02:37,77,216
0.26.0,2018-04-12 00:03:33,77,216
0.26.0,2018-04-12 12:02:59,77,216
0.26.0,2018-04-13 00:03:56,77,216
0.26.0,2018-04-13 12:02:34,77,216
0.26.0,2018-04-14 00:02:29,78,217
0.26.0,2018-04-14 12:01:55,80,217
0.26.0,2018-04-15 00:02:30,80,217
0.26.0,2018-04-15 12:03:04,83,217
0.26.0,2018-04-16 00:02:14,89,217
0.26.0,2018-04-16 12:02:28,89,217
0.26.0,2018-04-17 00:03:21,89,217
0.26.0,2018-04-17 12:02:48,90,217
0.26.0,2018-04-18 00:02:51,92,218
0.26.0,2018-04-18 12:02:40,92,218
0.26.0,2018-04-19 00:02:15,92,218
0.26.0,2018-04-19 12:02:16,92,218
0.26.0,2018-04-20 00:03:40,92,218
0.26.0,2018-04-20 12:03:25,92,218
0.26.0,2018-04-21 00:04:36,92,218
0.26.0,2018-04-21 12:01:46,93,219
0.26.0,2018-04-22 00:02:21,94,219
0.26.0,2018-04-22 12:02:21,94,219
0.26.0,2018-04-23 00:02:45,94,219
0.26.0,2018-04-23 12:02:47,94,219
0.26.0,2018-04-24 00:04:24,96,219
0.26.0,2018-04-24 12:02:22,96,219
0.26.0,2018-04-25 00:02:54,96,219
0.26.0,2018-04-25 12:02:24,96,219
0.26.0,2018-04-26 00:03:20,96,219
0.26.0,2018-04-26 12:02:51,96,219
0.26.0,2018-04-27 00:03:09,96,219
0.26.0,2018-04-27 12:03:27,96,219
0.26.0,2018-04-28 00:03:43,96,219
0.26.0,2018-04-28 12:02:09,96,219
0.26.0,2018-04-29 00:02:14,96,219
0.26.0,2018-04-29 12:02:31,96,219
0.26.0,2018-04-30 00:02:05,96,219
0.26.0,2018-04-30 12:02:32,96,219
0.26.0,2018-05-01 00:03:51,96,219
0.26.0,2018-05-01 12:03:08,96,219
0.26.0,2018-05-02 00:03:45,96,219
0.26.0,2018-05-02 12:01:55,96,219
0.26.0,2018-05-03 00:03:37,96,219
0.26.0,2018-05-03 12:03:07,96,219
0.26.0,2018-05-04 00:03:45,96,219
0.26.0,2018-05-04 12:10:45,96,219
0.26.0,2018-05-05 00:03:23,99,219
0.26.0,2018-05-05 12:01:56,99,219
0.26.0,2018-05-06 00:02:33,99,219
0.26.0,2018-05-06 12:02:10,99,219
0.26.0,2018-05-07 00:02:29,99,219
0.26.0,2018-05-07 12:02:22,99,219
0.26.0,2018-05-08 00:02:44,99,219
0.26.0,2018-05-08 12:02:26,99,219
0.26.0,2018-05-09 00:03:53,99,219
0.26.0,2018-05-09 12:03:03,99,219
0.26.0,2018-05-10 00:02:48,99,219
0.26.0,2018-05-10 12:01:59,99,219
0.26.0,2018-05-10 19:53:20,99,219
0.26.0,2018-05-10 22:42:55,99,219
0.26.0,2018-05-11 00:03:14,99,219
0.26.0,2018-05-11 04:42:17,99,219
0.26.0,2018-05-11 12:02:51,99,219
0.26.0,2018-05-12 00:02:20,100,219
0.26.0,2018-05-12 12:02:02,100,219
0.26.0,2018-05-12 17:10:00,101,219
0.26.0,2018-05-13 00:02:03,101,219
0.26.0,2018-05-13 12:02:35,101,219
0.26.0,2018-05-14 00:02:02,102,219
0.26.0,2018-05-14 12:02:49,102,219
0.26.0,2018-05-15 00:03:07,102,219
0.26.0,2018-05-15 12:02:58,102,219
0.26.0,2018-05-16 00:04:22,102,219
0.26.0,2018-05-16 12:02:54,102,219
0.26.0,2018-05-17 00:04:25,103,219
0.26.0,2018-05-17 12:02:40,103,219
0.26.0,2018-05-18 00:05:42,103,219
0.26.0,2018-05-18 12:03:41,104,219
0.26.0,2018-05-19 00:04:34,104,219
0.26.0,2018-05-19 12:01:57,104,219
0.26.0,2018-05-20 00:04:31,105,219
0.26.0,2018-05-20 12:02:26,105,219
0.26.0,2018-05-21 00:02:58,105,219
0.26.0,2018-05-21 12:02:14,105,219
0.26.0,2018-05-22 00:03:12,105,219
0.26.0,2018-05-22 12:03:00,108,219
0.26.0,2018-05-23 00:04:28,108,219
0.26.0,2018-05-23 12:03:36,109,219
0.26.0,2018-05-24 00:04:29,109,219
0.26.0,2018-05-24 12:03:47,109,219
0.26.0,2018-05-25 00:04:03,110,219
0.26.0,2018-05-25 12:05:19,112,219
0.26.0,2018-05-26 00:03:43,112,219
0.26.0,2018-05-26 12:02:21,112,219
0.26.0,2018-05-27 00:03:06,112,220
0.26.0,2018-05-27 12:02:16,112,220
0.26.0,2018-05-28 00:02:21,113,220
0.26.0,2018-05-28 12:02:21,114,221
0.26.0,2018-05-29 00:02:33,114,221
0.26.0,2018-05-29 12:02:04,114,221
0.26.0,2018-05-30 00:03:06,114,221
0.26.0,2018-05-30 12:03:03,114,221
0.26.0,2018-05-31 00:02:33,114,221
0.26.0,2018-05-31 12:03:09,114,221
0.26.0,2018-06-01 00:03:39,114,221
0.26.0,2018-06-01 12:02:11,114,221
0.26.0,2018-06-02 05:03:39,114,221
0.26.0,2018-06-02 12:02:04,114,220
0.26.0,2018-06-03 00:02:41,114,220
0.26.0,2018-06-03 12:02:17,114,220
0.26.0,2018-06-04 00:02:50,114,220
0.26.0,2018-06-04 12:03:59,114,220
0.26.0,2018-06-05 00:03:51,114,220
0.26.0,2018-06-05 12:03:20,115,221
0.26.0,2018-06-06 00:03:22,116,221
0.26.0,2018-06-06 12:04:25,118,221
0.26.0,2018-06-07 00:03:28,119,221
0.26.0,2018-06-07 12:02:38,121,221
0.26.0,2018-06-08 00:02:35,122,222
0.26.0,2018-06-08 12:05:16,123,222
0.26.0,2018-06-09 00:02:34,125,222
0.26.0,2018-06-09 12:02:19,125,222
0.28.0,2018-06-02 05:03:39,1,221
0.28.0,2018-06-02 12:02:04,2,220
0.28.0,2018-06-03 00:02:41,3,220
0.28.0,2018-06-03 12:02:17,3,220
0.28.0,2018-06-04 00:02:50,6,220
0.28.0,2018-06-04 12:03:59,6,220
0.28.0,2018-06-05 00:03:51,12,220
0.28.0,2018-06-05 12:03:20,12,221
0.28.0,2018-06-06 00:03:22,14,221
0.28.0,2018-06-06 12:04:25,15,221
0.28.0,2018-06-07 00:03:28,16,221
0.28.0,2018-06-07 12:02:38,26,221
0.28.0,2018-06-08 00:02:35,27,222
0.28.0,2018-06-08 12:05:16,29,222
0.28.0,2018-06-09 00:02:34,31,222
0.28.0,2018-06-09 12:02:19,31,222
0.26.0,2018-06-09 22:59:03,136,223
0.28.0,2018-06-09 22:59:03,43,223
0.26.0,2018-06-10 00:02:56,136,223
0.28.0,2018-06-10 00:02:56,44,223
0.26.0,2018-06-10 12:02:38,136,223
0.28.0,2018-06-10 12:02:38,44,223
0.26.0,2018-06-11 00:03:24,136,223
0.28.0,2018-06-11 00:03:24,44,223
0.26.0,2018-06-11 12:03:56,136,223
0.28.0,2018-06-11 12:03:56,46,223
0.26.0,2018-06-12 00:06:43,136,223
0.28.0,2018-06-12 00:06:43,47,223
0.26.0,2018-06-12 12:04:28,137,223
0.28.0,2018-06-12 12:04:28,50,223
0.26.0,2018-06-13 00:05:06,137,223
0.28.0,2018-06-13 00:05:06,51,223
0.26.0,2018-06-13 12:02:20,137,223
0.28.0,2018-06-13 12:02:20,52,223
0.26.0,2018-06-14 00:04:43,137,223
0.28.0,2018-06-14 00:04:43,52,223
0.26.0,2018-06-14 12:02:24,137,223
0.28.0,2018-06-14 12:02:24,52,223
0.26.0,2018-06-15 00:03:50,138,223
0.28.0,2018-06-15 00:03:50,53,223
0.26.0,2018-06-15 12:03:32,138,223
0.28.0,2018-06-15 12:03:32,53,223
0.26.0,2018-06-16 00:02:40,138,223
0.28.0,2018-06-16 00:02:40,53,223
0.26.0,2018-06-16 12:02:44,138,223
0.28.0,2018-06-16 12:02:44,53,223
0.26.0,2018-06-17 00:02:14,138,223
0.28.0,2018-06-17 00:02:14,53,223
0.26.0,2018-06-17 12:02:08,138,223
0.28.0,2018-06-17 12:02:08,53,223
0.26.0,2018-06-17 19:41:08,136,222
0.28.0,2018-06-17 19:41:08,47,222
0.26.0,2018-06-18 00:02:47,136,222
0.28.0,2018-06-18 00:02:48,47,222
0.26.0,2018-06-18 12:02:22,136,222
0.28.0,2018-06-18 12:02:22,47,222
0.26.0,2018-06-19 00:02:44,136,222
0.28.0,2018-06-19 00:02:44,47,222
0.26.0,2018-06-19 12:02:35,136,222
0.28.0,2018-06-19 12:02:35,47,222
0.26.0,2018-06-20 00:03:44,136,222
0.28.0,2018-06-20 00:03:44,47,222
0.26.0,2018-06-20 12:03:51,136,222
0.28.0,2018-06-20 12:03:51,47,222
0.26.0,2018-06-21 00:03:26,136,222
0.28.0,2018-06-21 00:03:26,56,222
0.26.0,2018-06-21 12:06:03,136,221
0.28.0,2018-06-21 12:06:03,56,221
0.26.0,2018-06-22 00:03:53,137,221
0.28.0,2018-06-22 00:03:53,58,221
0.26.0,2018-06-22 12:02:43,138,221
0.28.0,2018-06-22 12:02:43,59,221
0.26.0,2018-06-23 00:03:38,138,221
0.28.0,2018-06-23 00:03:38,60,221
0.26.0,2018-06-23 12:02:40,138,221
0.28.0,2018-06-23 12:02:40,60,221
0.26.0,2018-06-24 00:03:46,138,221
0.28.0,2018-06-24 00:03:46,63,221
0.26.0,2018-06-24 12:02:26,138,221
0.28.0,2018-06-24 12:02:26,63,221
0.26.0,2018-06-24 14:52:50,139,236
0.28.0,2018-06-24 14:52:50,63,236
0.26.0,2018-06-25 00:03:47,139,236
0.28.0,2018-06-25 00:03:47,63,236
0.26.0,2018-06-25 02:09:11,139,236
0.28.0,2018-06-25 02:09:11,63,236
0.26.0,2018-06-25 12:03:16,139,236
0.28.0,2018-06-25 12:03:16,64,236
0.26.0,2018-06-26 00:05:39,139,236
0.28.0,2018-06-26 00:05:39,65,236
0.26.0,2018-06-26 12:03:01,140,236
0.28.0,2018-06-26 12:03:01,67,236
0.26.0,2018-06-26 18:04:23,140,236
0.28.0,2018-06-26 18:04:23,67,236
0.26.0,2018-06-27 00:06:30,140,236
0.28.0,2018-06-27 00:06:30,67,236
0.26.0,2018-06-27 12:04:25,141,236
0.28.0,2018-06-27 12:04:25,68,236
0.26.0,2018-06-28 00:05:48,142,237
0.28.0,2018-06-28 00:05:48,69,237
0.26.0,2018-06-28 12:04:37,142,237
0.28.0,2018-06-28 12:04:37,69,237
0.26.0,2018-06-29 00:05:24,142,237
0.28.0,2018-06-29 00:05:24,69,237
0.26.0,2018-06-29 12:02:37,142,238
0.28.0,2018-06-29 12:02:37,69,238
0.26.0,2018-06-30 00:05:44,142,237
0.28.0,2018-06-30 00:05:44,69,237
0.26.0,2018-06-30 12:01:59,142,237
0.28.0,2018-06-30 12:01:59,69,237
0.26.0,2018-07-01 00:02:56,142,237
0.28.0,2018-07-01 00:02:56,69,237
0.26.0,2018-07-01 12:02:11,142,237
0.28.0,2018-07-01 12:02:11,69,237
0.26.0,2018-07-02 00:02:35,142,237
0.28.0,2018-07-02 00:02:35,69,237
0.26.0,2018-07-02 12:04:58,142,237
0.28.0,2018-07-02 12:04:58,69,237
0.26.0,2018-07-03 00:03:06,143,237
0.28.0,2018-07-03 00:03:06,72,237
0.26.0,2018-07-03 12:03:01,143,237
0.28.0,2018-07-03 12:03:01,72,237
0.26.0,2018-07-04 00:05:36,143,237
0.28.0,2018-07-04 00:05:36,74,237
0.26.0,2018-07-05 00:04:25,143,237
0.28.0,2018-07-05 00:04:25,74,237
0.26.0,2018-07-05 12:04:32,143,237
0.28.0,2018-07-05 12:04:32,74,237
0.26.0,2018-07-06 00:03:05,143,237
0.28.0,2018-07-06 00:03:05,74,237
0.26.0,2018-07-06 12:03:58,143,237
0.28.0,2018-07-06 12:03:58,74,237
0.26.0,2018-07-06 20:50:15,144,237
0.28.0,2018-07-06 20:50:15,75,237
0.26.0,2018-07-07 00:04:08,144,237
0.28.0,2018-07-07 00:04:08,75,237
0.26.0,2018-07-07 12:01:52,144,237
0.28.0,2018-07-07 12:01:52,75,237
0.26.0,2018-07-08 00:02:47,144,237
0.28.0,2018-07-08 00:02:47,75,237
0.26.0,2018-07-08 12:02:10,144,237
0.28.0,2018-07-08 12:02:10,75,237
0.26.0,2018-07-09 00:02:42,145,237
0.28.0,2018-07-09 00:02:42,76,237
0.26.0,2018-07-09 12:02:43,145,237
0.28.0,2018-07-09 12:02:43,76,237
0.26.0,2018-07-10 00:02:39,145,237
0.28.0,2018-07-10 00:02:39,76,237
0.26.0,2018-07-10 12:02:56,145,237
0.28.0,2018-07-10 12:02:56,76,237
0.26.0,2018-07-11 00:02:29,145,237
0.28.0,2018-07-11 00:02:29,76,237
0.26.0,2018-07-11 12:03:06,145,237
0.28.0,2018-07-11 12:03:06,76,237
0.26.0,2018-07-12 00:08:23,145,237
0.28.0,2018-07-12 00:08:24,77,237
0.26.0,2018-07-12 12:02:43,145,238
0.28.0,2018-07-12 12:02:43,77,238
0.26.0,2018-07-13 00:05:03,145,237
0.28.0,2018-07-13 00:05:03,77,237
0.26.0,2018-07-14 00:04:32,145,238
0.28.0,2018-07-14 00:04:32,78,238
0.26.0,2018-07-14 12:02:15,145,238
0.28.0,2018-07-14 12:02:15,78,238
0.26.0,2018-07-15 00:02:36,145,237
0.28.0,2018-07-15 00:02:36,78,237
0.26.0,2018-07-15 12:02:10,145,237
0.28.0,2018-07-15 12:02:10,78,237
0.26.0,2018-07-16 00:02:32,145,237
0.28.0,2018-07-16 00:02:32,79,237
0.26.0,2018-07-16 12:04:05,145,237
0.28.0,2018-07-16 12:04:05,79,237
0.26.0,2018-07-17 00:03:14,145,237
0.28.0,2018-07-17 00:03:14,79,237
0.26.0,2018-07-17 12:03:24,145,237
0.28.0,2018-07-17 12:03:24,79,237
0.26.0,2018-07-18 00:02:44,145,237
0.28.0,2018-07-18 00:02:44,79,237
0.26.0,2018-07-18 12:04:54,145,238
0.28.0,2018-07-18 12:04:54,79,238
0.26.0,2018-07-18 18:01:43,145,237
0.28.0,2018-07-18 18:01:44,80,237
0.26.0,2018-07-18 20:36:13,145,237
0.28.0,2018-07-18 20:36:13,80,237
0.26.0,2018-07-18 20:51:35,145,237
0.28.0,2018-07-18 20:51:36,80,237
0.26.0,2018-07-19 00:04:03,145,237
0.28.0,2018-07-19 00:04:03,80,237
0.26.0,2018-07-19 12:02:53,145,237
0.28.0,2018-07-19 12:02:53,80,237
0.26.0,2018-07-20 00:03:57,145,237
0.28.0,2018-07-20 00:03:57,80,237
0.26.0,2018-07-20 12:03:33,145,237
0.28.0,2018-07-20 12:03:33,80,237
0.26.0,2018-07-21 00:03:06,146,237
0.28.0,2018-07-21 00:03:06,81,237
